month;high-f;low-f;year;high-c;low-c;days-0;;;;;;;
1;39;25;2018;4;-4;22;;;;;;;
1;43;33;2017;6;1;12;;;;;;;
1;41;28;2016;5;-2;22;;;;;;;
1;36;24;2015;2;-5;25;;;;;;;
1;36;22;2014;2;-6;24;;;;;;;
1;41;29;2013;5;-2;18;;;;;;;
1;44;30;2012;7;-1;13;;;;;;;
1;35;25;2011;2;-4;28;;;;;;;
1;38;27;2010;3;-3;22;;;;;;;
2;50;35;2018;10;1;12;;;;;;;
2;49;35;2017;9;1;12;;;;;;;
2;45;31;2016;7;-1;14;;;;;;;
2;32;16;2015;0;-9;28;;;;;;;
2;38;26;2014;3;-3;21;;;;;;;
2;39;29;2013;4;-2;17;;;;;;;
2;47;35;2012;8;2;10;;;;;;;
2;44;28;2011;7;-2;20;;;;;;;
2;38;28;2010;3;-2;22;;;;;;;
3;46;34;2018;8;1;13;;;;;;;
3;47;32;2017;8;0;14;;;;;;;
3;57;40;2016;14;5;7;;;;;;;
3;45;31;2015;7;-1;16;;;;;;;
3;46;30;2014;8;-1;19;;;;;;;
3;46;34;2013;8;1;14;;;;;;;
3;59;43;2012;15;6;4;;;;;;;
3;50;35;2011;10;2;11;;;;;;;
3;55;41;2010;13;5;2;;;;;;;
4;57;42;2018;14;5;2;;;;;;;
4;65;49;2017;18;10;0;;;;;;;
4;62;44;2016;17;7;4;;;;;;;
4;63;46;2015;17;8;1;;;;;;;
4;61;43;2014;16;6;1;;;;;;;
4;61;45;2013;16;7;0;;;;;;;
4;64;46;2012;18;8;0;;;;;;;
4;63;46;2011;17;8;0;;;;;;;
4;67;48;2010;20;9;0;;;;;;;
5;76;58;2018;24;15;0;;;;;;;
5;68;54;2017;20;12;0;;;;;;;
5;71;55;2016;21;13;0;;;;;;;
5;78;59;2015;26;15;0;;;;;;;
5;73;56;2014;23;13;0;;;;;;;
5;71;54;2013;22;12;0;;;;;;;
5;72;58;2012;22;15;0;;;;;;;
5;72;57;2011;22;14;0;;;;;;;
5;74;56;2010;24;13;0;;;;;;;
6;80;64;2018;26;18;0;;;;;;;
6;79;65;2017;26;18;0;;;;;;;
6;81;64;2016;27;18;0;;;;;;;
6;79;64;2015;26;18;0;;;;;;;
6;80;65;2014;27;18;0;;;;;;;
6;80;65;2013;27;18;0;;;;;;;
6;79;63;2012;26;17;0;;;;;;;
6;80;64;2011;27;18;0;;;;;;;
6;83;66;2010;28;19;0;;;;;;;
7;85;70;2018;29;21;0;;;;;;;
7;84;70;2017;29;21;0;;;;;;;
7;86;71;2016;30;22;0;;;;;;;
7;86;72;2015;30;22;0;;;;;;;
7;84;69;2014;29;20;0;;;;;;;
7;86;73;2013;30;23;0;;;;;;;
7;87;70;2012;31;21;0;;;;;;;
7;89;72;2011;32;22;0;;;;;;;
7;90;73;2010;32;23;0;;;;;;;
8;84;72;2018;29;22;0;;;;;;;
8;81;67;2017;27;20;0;;;;;;;
8;87;72;2016;30;22;0;;;;;;;
8;87;71;2015;31;22;0;;;;;;;
8;83;67;2014;28;19;0;;;;;;;
8;82;68;2013;28;20;0;;;;;;;
8;84;69;2012;29;21;0;;;;;;;
8;83;68;2011;28;20;0;;;;;;;
8;85;70;2010;30;21;0;;;;;;;
9;76;65;2018;25;18;0;;;;;;;
9;78;63;2017;25;17;0;;;;;;;
9;79;65;2016;26;18;0;;;;;;;
9;83;66;2015;28;19;0;;;;;;;
9;77;62;2014;25;17;0;;;;;;;
9;76;59;2013;25;15;0;;;;;;;
9;76;62;2012;24;17;0;;;;;;;
9;76;64;2011;25;18;0;;;;;;;
9;79;63;2010;26;17;0;;;;;;;
10;64;52;2018;18;11;0;;;;;;;
10;71;57;2017;22;14;0;;;;;;;
10;66;52;2016;19;11;0;;;;;;;
10;65;51;2015;19;10;0;;;;;;;
10;66;53;2014;19;12;0;;;;;;;
10;67;54;2013;19;12;0;;;;;;;
10;64;52;2012;18;11;0;;;;;;;
10;64;50;2011;18;10;0;;;;;;;
10;65;51;2010;18;11;0;;;;;;;
11;50;39;2018;10;4;6;;;;;;;
11;54;39;2017;12;4;4;;;;;;;
11;57;43;2016;14;6;0;;;;;;;
11;59;46;2015;15;8;1;;;;;;;
11;52;39;2014;11;4;7;;;;;;;
11;52;39;2013;11;4;9;;;;;;;
11;50;38;2012;10;3;3;;;;;;;
11;59;45;2011;15;7;0;;;;;;;
11;54;42;2010;12;6;0;;;;;;;
12;45;35;2018;7;2;11;;;;;;;
12;40;30;2017;4;-1;16;;;;;;;
12;44;33;2016;7;0;11;;;;;;;
12;56;45;2015;14;7;0;;;;;;;
12;45;36;2014;7;2;10;;;;;;;
12;45;33;2013;7;0;19;;;;;;;
12;46;37;2012;8;3;8;;;;;;;
12;50;37;2011;10;3;10;;;;;;;
12;38;28;2010;3;-2;25;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;